,Month,Day,Temp ,Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Binary Weather,Hour,Discrete Weather
39,7,26,21,18.2,84,6,31,16.1,99.86,27,-9,Bad_Weather,Bad Weather,23,0
40,6,14,12.8,9.1,78,20,6,24.1,99.01,29,-9,Good Weather,Good Weather,0,1
41,7,25,17.9,17.9,100,25,5,9.7,100.33,29,-9,Fog,Bad Weather,7,0
42,11,17,14.9,3.6,46,21,32,24.1,99.03,29,-9,Good Weather,Good Weather,11,1
43,2,16,-1.2,-6.4,67,3,20,24.1,99.79,29,-7,Snow,Bad Weather,22,0
44,4,22,8.6,4.8,77,8,13,24.1,99.69,29,-9,Good Weather,Good Weather,6,1
45,11,20,-2.6,-10.5,55,33,11,24.1,101.76,29,-7,Mainly Clear,Good Weather,10,1
46,2,20,4.2,-2.3,63,20,17,24.1,98.95,29,-9,Good Weather,Good Weather,3,1
47,9,15,18.9,9.4,54,3,7,24.1,100.98,29,-9,Clear,Good Weather,10,1
48,6,13,17.7,16.6,94,16,13,8.1,98.86,29,-9,"Rain,Fog",Bad Weather,2,0
49,12,14,0.2,-3.5,77,21,14,24.1,100.98,29,-9,Good Weather,Good Weather,20,1
50,12,29,2.8,2.8,100,21,4,0.8,99.03,29,-9,"Rain,Drizzle,Fog",Bad Weather,9,0
51,9,10,15.8,14.5,92,4,13,24.1,100.67,29,-9,Mostly Cloudy,Bad Weather,7,0
52,4,1,-1,-6,69,32,37,24.1,98.97,29,-8,Good Weather,Good Weather,23,1
53,1,12,-1.7,-2,98,5,22,2,99.53,29,-8,Snow,Bad Weather,22,0
54,1,2,1.4,1.2,98,23,11,4.8,100.2,29,-9,Fog,Bad Weather,7,0
55,7,19,24.8,15.4,55,23,11,24.1,100.33,29,-9,Mainly Clear,Good Weather,13,1
56,7,6,21.4,19,86,19,12,24.1,100.01,28,-9,Good Weather,Good Weather,2,1
57,1,25,-10.2,-13.3,78,6,14,24.1,101.18,29,-17,Good Weather,Good Weather,6,1
58,10,13,11.9,7,72,34,22,24.1,100.36,29,-9,Mainly Clear,Good Weather,10,1
59,8,1,13.8,12.3,90,29,10,24.1,100.83,29,-9,Mostly Cloudy,Bad Weather,7,0
60,1,8,-10.1,-12.8,81,30,13,24.1,101.48,29,-16,Good Weather,Good Weather,0,1
61,5,2,8.9,4.6,74,5,11,24.1,98.23,29,-9,Good Weather,Good Weather,18,1
62,5,19,5.7,-2.2,57,9,6,24.1,100.61,29,-9,Good Weather,Good Weather,2,1
63,12,14,-2.7,-9.1,62,20,13,24.1,101.88,29,-7,Good Weather,Good Weather,11,1
64,8,11,16.3,13.5,83,20,5,24.1,99.71,29,-9,Good Weather,Good Weather,21,1
65,8,22,22.1,12,52,2,14,24.1,100.71,29,-9,Good Weather,Good Weather,18,1
66,11,21,-8.1,-11.1,79,6,8,24.1,101.99,29,-12,Good Weather,Good Weather,3,1
67,7,2,23.4,20.9,85,31,3,8.1,99.69,32,-9,Fog,Bad Weather,11,0
68,5,7,10,3,61,23,7,24.1,100.57,29,-9,Good Weather,Good Weather,0,1
69,7,27,23.7,20.1,80,23,10,24.1,99.84,31,-9,Good Weather,Good Weather,20,1
70,7,2,19.7,19.5,99,19,5,24.1,99.56,29,-9,Good Weather,Good Weather,3,1
71,2,3,-26.6,-34.4,49,28,34,24.1,100.96,29,-42,Blowing Snow,Bad Weather,13,0
72,5,8,9.4,0.7,54,34,17,24.1,99.66,29,-9,Good Weather,Good Weather,5,1
73,11,18,3.8,-5.9,49,23,12,24.1,99.67,29,-9,Good Weather,Good Weather,15,1
74,9,13,15.4,15.4,100,22,8,24.1,99.96,29,-9,Mainly Clear,Good Weather,7,1
75,5,17,2.4,-3,68,32,31,24.1,99.56,29,-9,Mainly Clear,Good Weather,1,1
76,2,18,-14.6,-17.1,81,24,12,24.1,100.7,29,-21,Clear,Good Weather,1,1
77,7,5,25.1,17.2,61,17,8,24.1,99.97,31,-9,Good Weather,Good Weather,21,1
78,4,28,10.6,2,55,9,15,24.1,100.82,29,-9,Good Weather,Good Weather,8,1
79,2,21,-9.8,-12,84,18,6,24.1,98.83,29,-13,Good Weather,Good Weather,18,1
80,8,10,14.3,13.4,94,17,3,24.1,99,29,-9,Mostly Cloudy,Bad Weather,4,0
81,6,27,18.4,18.4,100,9,10,24.1,98.99,29,-9,Good Weather,Good Weather,5,1
82,1,26,-5.5,-9,76,28,22,24.1,99.43,29,-13,Good Weather,Good Weather,20,1
83,1,23,-1.5,-4.7,79,25,12,24.1,99.58,29,-6,Cloudy,Bad Weather,19,0
84,5,19,6,-3,52,16,11,24.1,100.72,29,-9,Good Weather,Good Weather,0,1
85,8,12,13.9,13.2,96,20,5,24.1,99.72,29,-9,Mainly Clear,Good Weather,1,1
86,11,16,-0.2,-0.4,99,20,8,24.1,100.83,29,-3,Good Weather,Good Weather,8,1
87,1,2,0.4,-0.4,94,18,5,24.1,100.14,29,-9,Good Weather,Good Weather,2,1
88,6,16,18.2,14.3,78,32,3,24.1,99.19,29,-9,Mostly Cloudy,Bad Weather,1,0
89,5,31,31.9,7.3,21,31,13,24.1,100.39,32,-9,Good Weather,Good Weather,17,1
90,6,21,17.2,15.3,88,6,14,19.3,101.09,29,-9,Good Weather,Good Weather,0,1
91,4,30,7.3,6.3,93,8,21,24.1,99.27,29,-9,Rain,Bad Weather,2,0
92,7,28,24.8,22,84,30,5,16.1,99.74,34,-9,Bad_Weather,Bad Weather,17,0
93,2,24,-15.1,-18.5,76,31,21,24.1,100.88,29,-25,Good Weather,Good Weather,6,1
94,12,27,3.1,3,100,4,12,2.4,100.58,29,-9,Fog,Bad Weather,2,0
95,4,4,7.5,-2.8,48,36,18,24.1,100.97,29,-9,Good Weather,Good Weather,17,1
96,11,13,-7.7,-9.1,90,8,5,24.1,101.37,29,-10,Good Weather,Good Weather,6,1
97,4,23,10.3,6.5,77,20,6,24.1,99.95,29,-9,Good Weather,Good Weather,11,1
98,8,27,11.4,10.6,95,31,6,24.1,100.26,29,-9,Mainly Clear,Good Weather,4,1
99,12,17,-1.4,-4.9,77,9,19,24.1,101.23,29,-7,Cloudy,Bad Weather,1,0
100,1,21,-3.2,-5.5,84,23,15,24.1,100.75,29,-8,Good Weather,Good Weather,20,1
101,11,1,0.6,-7.2,56,1,7,24.1,100.68,29,-9,Mostly Cloudy,Bad Weather,13,0
102,1,19,-1.6,-4.2,82,36,13,24.1,100.41,29,-6,Good Weather,Good Weather,5,1
103,7,28,25.8,20.9,74,24,16,24.1,99.99,34,-9,Good Weather,Good Weather,11,1
104,6,24,26.1,19.8,68,22,9,24.1,99.45,34,-9,Good Weather,Good Weather,18,1
105,11,20,-4.7,-11.3,60,29,7,24.1,101.97,29,-8,Good Weather,Good Weather,18,1
106,10,16,12.3,8.2,76,34,21,24.1,99.27,29,-9,Good Weather,Good Weather,9,1
107,11,30,3.4,-1.4,71,22,31,24.1,99.68,29,-9,Good Weather,Good Weather,11,1
108,9,5,31.4,23.8,63,15,14,24.1,99.89,42,-9,Good Weather,Good Weather,17,1
109,6,26,19.8,12.2,61,8,28,3.2,99.42,29,-9,Smoke,Bad Weather,0,0
110,7,8,21.4,19.9,91,29,7,24.1,99.72,29,-9,Good Weather,Good Weather,2,1
111,5,28,13,8.1,72,21,9,24.1,100.7,29,-9,Good Weather,Good Weather,6,1
112,6,20,13.7,12,90,3,6,24.1,100.83,29,-9,Clear,Good Weather,1,1
113,6,25,18.6,17.9,96,23,8,24.1,99.57,29,-9,Mostly Cloudy,Bad Weather,1,0
114,10,4,28.9,17.1,48,19,15,24.1,100.67,34,-9,Clear,Good Weather,13,1
115,6,23,26.2,14,46,12,3,24.1,100.25,30,-9,Good Weather,Good Weather,9,1
116,4,23,9.2,7.3,88,12,10,24.1,99.99,29,-9,Good Weather,Good Weather,18,1
117,6,28,18.1,15.8,87,27,9,9.7,99.8,29,-9,Smoke,Bad Weather,19,0
118,2,13,-5.5,-6.4,93,7,21,16.1,99.17,29,-12,Mainly Clear,Good Weather,7,1
119,5,14,17,-3.4,24,35,21,24.1,101.23,29,-9,Clear,Good Weather,16,1
120,5,29,15.5,1.5,38,9,12,24.1,100.58,29,-9,Good Weather,Good Weather,21,1
121,9,24,21.2,13.8,62,9,18,24.1,100.89,29,-9,Good Weather,Good Weather,11,1
122,9,24,15.9,13.1,83,6,17,24.1,100.78,29,-9,Good Weather,Good Weather,23,1
123,7,6,22.4,19.3,83,29,7,24.1,100.02,29,-9,Good Weather,Good Weather,0,1
124,9,7,21.4,21.3,99,21,8,24.1,99.32,30,-9,Good Weather,Good Weather,6,1
125,3,19,-4.2,-11.8,56,18,9,24.1,100.16,29,-8,Mostly Cloudy,Bad Weather,22,0
126,1,5,-2.6,-2.8,99,7,5,3.2,100.05,29,-5,Fog,Bad Weather,11,0
127,3,31,-5.2,-8.6,77,16,9,24.1,100.96,29,-9,Good Weather,Good Weather,2,1
128,7,30,19.2,14.7,75,23,10,24.1,99.88,29,-9,Good Weather,Good Weather,20,1
129,2,28,-1.1,-5.4,72,24,21,24.1,99.91,29,-7,Mostly Cloudy,Bad Weather,22,0
130,1,23,-2.6,-3.1,97,36,13,12.9,99.51,29,-7,Bad_Weather,Bad Weather,6,0
131,11,16,-0.2,-0.6,97,21,9,24.1,100.71,29,-3,Good Weather,Good Weather,5,1
132,11,27,3,1.2,88,23,22,24.1,98.68,29,-9,Good Weather,Good Weather,8,1
133,8,3,21.8,18.7,82,23,23,24.1,99.88,28,-9,Mostly Cloudy,Bad Weather,10,0
134,8,22,15.3,11.9,80,22,5,24.1,100.76,29,-9,Good Weather,Good Weather,23,1
135,1,25,-10.3,-13.1,80,6,18,24.1,101.11,29,-18,Snow,Bad Weather,9,0
136,4,12,18.3,-0.3,28,21,16,24.1,99.48,29,-9,Good Weather,Good Weather,15,1
137,12,28,3.1,3.1,100,5,16,12.9,99.53,29,-9,Cloudy,Bad Weather,19,0
138,8,8,19.5,17.4,88,30,15,24.1,99.04,29,-9,Good Weather,Good Weather,21,1
139,3,27,0,-4.8,70,35,27,24.1,100.66,29,-6,Good Weather,Good Weather,23,1
140,4,19,3.5,-2,67,30,28,24.1,100.19,29,-9,Good Weather,Good Weather,11,1
141,3,12,-0.2,-6,65,10,13,24.1,100.05,29,-4,Good Weather,Good Weather,23,1
142,9,9,10.7,10.5,99,26,7,24.1,100.69,29,-9,Good Weather,Good Weather,5,1
143,9,14,12,9.9,87,17,6,24.1,100.71,29,-9,Mostly Cloudy,Bad Weather,19,0
144,1,21,-6,-9.5,76,25,13,24.1,100.85,29,-11,Good Weather,Good Weather,11,1
145,8,4,20.8,14.9,68,36,29,24.1,99.99,25,-9,Good Weather,Good Weather,20,1
146,9,8,19.4,14.6,73,27,14,24.1,100.04,29,-9,Good Weather,Good Weather,14,1
147,1,10,-6.3,-9.3,79,32,21,24.1,100.09,29,-13,Good Weather,Good Weather,2,1
148,10,17,13.7,6,60,15,14,24.1,100.07,29,-9,Good Weather,Good Weather,15,1
149,7,31,14.4,14,97,29,11,24.1,99.88,29,-9,Good Weather,Good Weather,3,1
150,4,27,11,3.7,61,5,5,24.1,100.99,29,-9,Good Weather,Good Weather,11,1
151,10,21,11.8,11.8,100,11,6,24.1,98.41,29,-9,Rain,Bad Weather,0,0
152,9,22,22.6,9.8,44,16,9,24.1,101.42,29,-9,Good Weather,Good Weather,14,1
153,2,5,-11.3,-14.8,75,6,9,24.1,99.73,29,-16,Good Weather,Good Weather,12,1
154,4,19,2,-6.3,54,31,18,24.1,100.68,29,-9,Cloudy,Bad Weather,19,0
155,7,23,14.1,12.2,88,21,7,24.1,99.73,29,-9,Good Weather,Good Weather,0,1
156,7,29,16.4,13,80,2,12,24.1,99.94,29,-9,Good Weather,Good Weather,5,1
157,9,15,8,8,100,30,7,24.1,100.87,29,-9,Good Weather,Good Weather,3,1
158,11,17,10.5,1.7,54,19,20,24.1,99.38,29,-9,Good Weather,Good Weather,6,1
159,8,27,20.7,12.1,58,33,14,24.1,100.27,29,-9,Mainly Clear,Good Weather,19,1
160,8,29,20.1,17.8,86,18,8,24.1,99.47,26,-9,Good Weather,Good Weather,21,1
161,5,24,7.8,5.2,84,34,29,24.1,100.73,29,-9,Good Weather,Good Weather,11,1
162,11,19,-0.5,-8.4,56,30,19,24.1,100.31,29,-6,Good Weather,Good Weather,18,1
163,9,10,17.8,15.3,85,6,14,24.1,100.73,29,-9,Cloudy,Bad Weather,10,0
164,8,14,20.2,15.4,73,27,17,24.1,100.17,29,-9,Good Weather,Good Weather,11,1
165,4,29,7.8,6.5,91,9,22,24.1,99.49,29,-9,Good Weather,Good Weather,23,1
166,8,9,27.5,16.4,50,31,19,24.1,99.05,32,-9,Good Weather,Good Weather,14,1
167,5,2,7,5.6,91,21,8,24.1,98.38,29,-9,Mostly Cloudy,Bad Weather,22,0
168,1,17,-5,-8.9,74,25,5,24.1,98.98,29,-7,Mostly Cloudy,Bad Weather,13,0
169,2,24,-17,-23.9,56,31,12,24.1,102.14,29,-24,Good Weather,Good Weather,21,1
170,9,17,13.5,12.8,95,28,9,24.1,99.94,29,-9,Mostly Cloudy,Bad Weather,7,0
171,1,6,-2.1,-2.2,99,6,6,2,99.98,29,-4,"Snow,Fog",Bad Weather,1,0
172,5,8,15.9,-5.5,22,35,22,24.1,99.85,29,-9,Good Weather,Good Weather,17,1
173,1,17,-3.9,-5.3,89,8,8,12.9,98.85,29,-7,Snow,Bad Weather,17,0
174,1,5,-2.2,-2.3,99,8,12,1,99.97,29,-6,Fog,Bad Weather,15,0
175,4,7,2.4,-9.3,42,27,27,24.1,101.54,29,-9,Good Weather,Good Weather,14,1
176,3,7,-6.4,-11.6,67,32,33,24.1,100.05,29,-15,Good Weather,Good Weather,6,1
177,10,23,1.2,0.9,98,26,9,24.1,100.47,29,-9,Good Weather,Good Weather,5,1
178,5,14,16.3,-2.4,28,33,26,24.1,101.27,29,-9,Good Weather,Good Weather,14,1
179,8,24,22.9,16,65,14,16,24.1,100.16,28,-9,Mostly Cloudy,Bad Weather,10,0
180,9,1,9.7,9.7,100,29,5,24.1,101.09,29,-9,Good Weather,Good Weather,6,1
181,8,21,21.4,9.1,45,36,18,24.1,100.75,29,-9,Mostly Cloudy,Bad Weather,13,0
182,11,8,1.2,-8,51,35,11,24.1,100.82,29,-9,Good Weather,Good Weather,12,1
183,5,20,14.2,14,98,18,5,12.9,99.66,29,-9,Rain,Bad Weather,19,0
184,10,8,12.1,4.4,59,23,25,24.1,97.94,29,-9,Good Weather,Good Weather,14,1
185,3,6,-0.6,-11.6,43,33,22,24.1,100.28,29,-6,Good Weather,Good Weather,21,1
186,10,14,8.8,5.6,80,32,19,24.1,99.39,29,-9,Good Weather,Good Weather,21,1
187,8,14,17.2,14.6,84,28,14,24.1,100.18,29,-9,Good Weather,Good Weather,9,1
188,1,24,-4.4,-10.1,65,34,16,24.1,101.01,29,-10,Good Weather,Good Weather,21,1
189,9,5,21,21,100,20,5,24.1,99.95,29,-9,Clear,Good Weather,1,1
190,9,3,20,17.6,86,22,7,19.3,99.9,26,-9,Good Weather,Good Weather,8,1
191,11,17,2,-0.5,84,32,18,24.1,99.68,29,-9,Good Weather,Good Weather,20,1
192,3,13,0.8,0,94,10,14,3.2,99.74,29,-9,"Snow,Fog",Bad Weather,16,0
193,6,22,17.6,13.3,76,19,6,24.1,100.93,29,-9,Good Weather,Good Weather,6,1
194,10,2,11.4,9.9,91,1,9,24.1,101.13,29,-9,Good Weather,Good Weather,6,1
195,12,6,-9.9,-12.1,84,34,13,16.1,100.57,29,-16,Snow,Bad Weather,7,0
196,3,23,2.8,-1.4,74,29,29,16.1,99.57,29,-9,Bad_Weather,Bad Weather,21,0
197,2,28,-2.2,-3.1,94,5,4,1.6,98.93,29,-4,Snow,Bad Weather,15,0
198,1,23,-2.5,-3.5,93,35,15,16.1,99.51,29,-7,Cloudy,Bad Weather,7,0
199,4,21,4.7,-1.8,63,8,34,24.1,100.55,29,-9,Cloudy,Bad Weather,4,0
200,5,6,7.4,3.8,78,30,9,24.1,101.1,29,-9,Clear,Good Weather,1,1
201,5,25,10.6,0.7,50,31,9,24.1,101.04,29,-9,Clear,Good Weather,22,1
202,5,12,14.1,12.3,89,28,12,24.1,100.22,29,-9,Good Weather,Good Weather,5,1
203,8,15,23.4,17,67,11,3,24.1,99.67,29,-9,Good Weather,Good Weather,17,1
204,3,1,0.6,-4.1,71,8,9,24.1,100.05,29,-9,Good Weather,Good Weather,18,1
205,8,10,16.6,15.1,91,17,14,24.1,99.04,29,-9,Good Weather,Good Weather,6,1
206,4,26,8.2,2.2,66,15,4,24.1,100.78,29,-9,Rain Showers,Bad Weather,17,0
207,2,20,-5.6,-13.9,52,2,17,24.1,99.48,29,-12,Good Weather,Good Weather,21,1
208,11,18,3.5,-5.9,50,23,16,24.1,99.71,29,-9,Good Weather,Good Weather,14,1
209,5,16,12.3,1,46,23,13,24.1,99.16,29,-9,Cloudy,Bad Weather,4,0
210,4,27,9.1,3.5,68,12,9,24.1,101.03,29,-9,Mostly Cloudy,Bad Weather,10,0
211,6,12,22.2,17.3,74,6,11,24.1,98.93,28,-9,Good Weather,Good Weather,20,1
212,3,19,-4.7,-15.2,44,23,7,24.1,100.06,29,-8,Mostly Cloudy,Bad Weather,19,0
213,3,2,1,-0.9,88,33,13,24.1,99.26,29,-9,Snow,Bad Weather,14,0
214,5,30,8.3,2.9,69,5,13,24.1,100.57,29,-9,Mainly Clear,Good Weather,4,1
215,6,9,16.1,10.7,70,8,7,24.1,99.49,29,-9,Mostly Cloudy,Bad Weather,10,0
216,5,20,14.5,11.5,82,18,7,24.1,100.17,29,-9,Good Weather,Good Weather,5,1
217,1,20,-1.7,-2.9,92,34,13,16.1,99.65,29,-6,Snow,Bad Weather,17,0
218,9,26,16.2,7.9,58,7,11,24.1,101.65,29,-9,Good Weather,Good Weather,17,1
219,3,17,4.7,4.5,98,23,18,16.1,98.2,29,-9,Rain,Bad Weather,20,0
220,10,20,10.9,6.9,76,17,8,24.1,99.48,29,-9,Good Weather,Good Weather,0,1
221,2,6,-5.5,-13.1,55,31,6,24.1,101.24,29,-8,Good Weather,Good Weather,17,1
222,1,3,0.8,-0.8,88,17,6,24.1,100.51,29,-9,Good Weather,Good Weather,3,1
223,3,18,-0.5,-2.9,83,24,27,24.1,98.89,29,-7,Mostly Cloudy,Bad Weather,16,0
224,7,16,23.1,19.6,80,36,2,24.1,99.45,30,-9,Mostly Cloudy,Bad Weather,10,0
225,7,1,19.5,19,97,14,9,12.9,99.69,29,-9,Bad_Weather,Bad Weather,23,0
226,9,3,17,17,100,22,13,24.1,99.83,29,-9,Clear,Good Weather,4,1
227,8,19,18.1,13.5,74,30,21,24.1,99.82,29,-9,Cloudy,Bad Weather,13,0
228,1,20,-1.3,-3.8,84,36,15,9.7,99.18,29,-6,Snow,Bad Weather,13,0
229,4,15,17.9,7.8,51,6,10,24.1,99.66,29,-9,Good Weather,Good Weather,20,1
230,9,20,16.4,8.2,58,28,11,24.1,100.77,29,-9,Good Weather,Good Weather,11,1
231,9,22,13,9.4,79,14,8,24.1,101.32,29,-9,Good Weather,Good Weather,21,1
232,4,29,8.4,6.8,90,10,40,24.1,99.74,29,-9,Good Weather,Good Weather,15,1
233,4,5,0,-0.4,98,7,13,16.1,100.01,29,-4,Cloudy,Bad Weather,19,0
234,1,11,-15,-16.8,86,5,14,24.1,101.16,29,-23,Mainly Clear,Good Weather,7,1
235,1,3,1.8,-1.2,80,2,12,24.1,99.7,29,-9,Cloudy,Bad Weather,22,0
236,3,19,-8.3,-15.6,56,28,32,24.1,99.68,29,-18,Blowing Snow,Bad Weather,10,0
237,3,14,0.2,0.1,100,1,13,2.4,99.5,29,-9,"Snow,Fog",Bad Weather,3,0
238,12,4,-1.4,-1.6,98,1,8,2.4,99.06,29,-4,Snow,Bad Weather,7,0
239,2,6,-6.1,-7.4,91,35,12,12.9,99.9,29,-11,Snow,Bad Weather,1,0
240,2,1,-6.4,-12.5,63,22,13,24.1,100.66,29,-12,Good Weather,Good Weather,17,1
241,8,18,19.4,17.1,86,22,15,24.1,98.85,29,-9,Good Weather,Good Weather,9,1
242,12,21,-5.7,-13.6,54,32,4,24.1,102.27,29,-8,Good Weather,Good Weather,14,1
243,12,12,-0.8,-4.7,75,24,18,24.1,100.86,29,-6,Good Weather,Good Weather,23,1
244,4,7,-0.5,-11.1,45,29,31,24.1,101.26,29,-7,Good Weather,Good Weather,8,1
245,5,10,19.5,1.4,30,29,23,24.1,100.56,29,-9,Good Weather,Good Weather,11,1
246,12,12,-6.7,-9.5,80,22,6,24.1,100.64,29,-10,Good Weather,Good Weather,3,1
247,10,24,4.5,3.8,96,18,6,24.1,101.06,29,-9,Good Weather,Good Weather,3,1
248,1,18,-0.6,-2.1,90,27,9,24.1,99.89,29,-4,Good Weather,Good Weather,17,1
249,1,8,-6.2,-8.8,82,23,14,24.1,100.55,29,-12,Good Weather,Good Weather,20,1
250,6,29,19.8,15.6,76,30,22,6.4,100.16,29,-9,Smoke,Bad Weather,7,0
251,6,25,19.3,18.3,94,35,9,9.7,99.67,29,-9,"Fog,Smoke",Bad Weather,5,0
252,1,10,-8.2,-12.2,73,32,15,24.1,100.6,29,-15,Snow,Bad Weather,12,0
253,7,4,21.7,20.7,94,6,8,24.1,100,30,-9,Mainly Clear,Good Weather,22,1
254,11,12,0.3,-7.5,56,33,10,24.1,102.03,29,-9,Good Weather,Good Weather,12,1
255,1,29,-10.7,-12,90,33,9,24.1,100.68,29,-16,Good Weather,Good Weather,21,1
256,2,13,-4.2,-5.8,88,12,9,16.1,99.11,29,-8,Bad_Weather,Bad Weather,9,0
257,8,4,16.6,16.1,96,22,7,24.1,99.62,29,-9,Good Weather,Good Weather,5,1
258,10,14,8.2,5.7,84,32,21,24.1,99.35,29,-9,Mainly Clear,Good Weather,22,1
259,1,27,-7.1,-9.4,84,28,14,24.1,99.71,29,-13,Good Weather,Good Weather,0,1
260,11,30,2,-1.6,77,21,25,24.1,99.73,29,-9,Good Weather,Good Weather,9,1
261,5,21,17.1,0.8,33,36,30,24.1,100.35,29,-9,Mainly Clear,Good Weather,19,1
262,7,11,17.7,17.3,97,16,7,24.1,99.61,29,-9,Mostly Cloudy,Bad Weather,22,0
263,3,21,0.8,-2,82,34,20,24.1,100.96,29,-9,Good Weather,Good Weather,9,1
264,11,3,11.2,0.8,48,20,15,24.1,100.2,29,-9,Good Weather,Good Weather,18,1
265,2,3,-27,-34.3,51,32,27,24.1,100.87,29,-41,Blowing Snow,Bad Weather,9,0
266,3,3,-5.4,-12,60,7,26,24.1,99.27,29,-13,Good Weather,Good Weather,23,1
267,10,20,11.6,11.6,100,14,5,24.1,98.47,29,-9,Rain,Bad Weather,23,0
268,10,5,22.9,16,65,19,16,24.1,100.49,28,-9,Mostly Cloudy,Bad Weather,10,0
269,7,15,26.5,16.9,55,13,10,24.1,99.98,32,-9,Good Weather,Good Weather,12,1
270,5,3,7.9,6.1,88,4,26,16.1,98.98,29,-9,Rain,Bad Weather,16,0
271,12,3,0,-2.7,82,2,17,16.1,100.5,29,-5,Bad_Weather,Bad Weather,0,0
272,2,17,-2.9,-4.2,91,3,22,4,99.49,29,-9,"Snow,Ice Pellets",Bad Weather,0,0
273,9,23,15.3,11.7,79,6,12,24.1,100.99,29,-9,Mostly Cloudy,Bad Weather,19,0
274,7,13,17,14.7,86,9,8,24.1,99.56,29,-9,Rain Showers,Bad Weather,7,0
275,6,17,14.7,10.8,78,33,15,24.1,99.31,29,-9,Good Weather,Good Weather,3,1
